,Date,Country,City,Killed,Injured,Description
1769,6/9/2004,England,Brixton,1,0,A 21-year-old man is stabbed to death by Muslim gang members for refusing to convert to Islam.
1770,6/10/2004,Iraq,Baghdad,1,0,A Christian man is attack and murdered by Islamists in his home.
1771,6/10/2004,India,Udhampur,4,0,"Militant Muslims shoot four members of a family to death, including two women and a 6-year-old child."
1772,6/10/2004,Pakistan,Karachi,11,10,"Islamic militants ambush a convoy in a busy residential neighborhood.  The intended target escapes the shooting attack, but eleven others are killed."
1773,6/10/2004,Afghanistan,Kunduz,11,4,Taliban attack a construction site and shoot to death eleven Chinese nationals working there. Four others are injured.
1774,6/10/2004,USA,"Atlanta, GA",0,4,A man riding on an Atlanta commuter train mutters Qur'anic verses then attacks an army officer for no other apparent reason.  An elderly woman and two arresting officers are hurt as well.
1775,6/11/2004,Iraq,Fallujah,3,0,al-Qaeda members kill three hostages kidnapped the day before by cutting their throats.  The three were employees of a telecommunications company.
1776,6/11/2004,Chechnya,Grozny,3,1,"Jihadis explode a bomb under a police vehicle, killing three occupants."
1777,6/12/2004,Algeria,Skikda,1,3,Islamic fundamentalists detonate an IED as four civilians walking by.
1778,6/12/2004,Chechnya,Grozny,2,1,Two policemen are killed in a Jihad bombing attack.
1779,6/12/2004,Philippines,Jolo,1,2,Abu Sayyaf place a bomb outside a restaurant which kills one person.
1780,6/12/2004,India,Pahalgam,5,28,"Islamist kills five tourists, including two children with a grenade lobbed inside a crowded hotel.  Twenty-eight others are injured."
1781,6/12/2004,Saudi Arabia,Riyadh,1,1,al-Qaeda kills an American civilian as he is parking his car outside his home and kidnaps another American.
1782,6/13/2004,India,Handwara,1,22,"Twenty-two civilians are injured, four critically by an Islamist who threw a grenade into a busy street.  One victim later dies in the hospital (6/14/04)."
1783,6/13/2004,Iraq,Baghdad,13,12,A Fedayeen suicide bomber kills thirteen Iraqis and injures at least a dozen with a car bomb.
1784,6/13/2004,Iraq,Baghdad,2,0,Extremists assassinate two government officials in separate shooting attacks.
1785,6/13/2004,India,Baramulla,2,1,"Islamic militant hurls a grenade at the house of a retired government official, killing the man, his sister and seriously injuring his son."
1786,6/14/2004,India,Rajouri,2,0,A father and son are shot to death in their home by Muslim terrorists.
1787,6/14/2004,Iraq,Baghdad,13,61,"A suicide bomber targets foreign civilian contractors working to restore the country's power plants.  Thirteen people, other than this religious man, were killed immediately and more than sixty injured."
1788,6/15/2004,Thailand,Yala,1,0,A rubber farmer is murdered by Muslim terrorists while riding in his truck.
1789,6/15/2004,Iraq,Kirkuk,4,1,"Four people assassinated in as many days by Fedayeen.  The civilian victims are an oil company executive, a cleric, district mayor and the father of a policeman."
1790,6/16/2004,Afghanistan,Kanduz,4,1,"Four citizens, including two children and an elderly man are killed by a Taliban remote-control bomb."
1791,6/16/2004,Thailand,Narathiwat,3,7,"Muslim separatists kill an 18-year-old college student, a school janitor and a police officer in a drive-by shooting attacks.  They also bomb a police check-point, injuring five."
1792,6/17/2004,Iraq,Baghdad,35,145,'Holy Warrior' suicide bomber kills at least thirty-five Iraqi civilians and injures nearly one-hundred and fifty other innocents who happened to be on a busy street near a recruiting center.  The vehicle used was apparently packed with artillery rounds.
1793,6/17/2004,Iraq,Balad,6,4,Car bombing by Sunni insurgents kills six member of the Iraqi Defense Forces and injures four.
1794,6/18/2004,Saudi Arabia,Riyadh,1,0,"Family members of captured hostage appeal to kidnappers humanity with children and grandchildren.  Islamists quote from the Qur'an, praise Allah and then cut the victim's head off."
1795,6/18/2004,Sudan,Babanousa,3,12,"The Islamic government kills two student demonstrators, along with a 50-year-old shop owner."
1796,6/19/2004,Thailand,Yala,1,3,A Buddhist teacher is shot to death by Muslim extremists.
1797,6/19/2004,Iraq,Basra,3,0,Remote-controlled bomb kills two oil workers and one Iraqi security personnel.
1798,6/19/2004,Thailand,Pattani,1,4,"Militant Muslims spray a police car with an AK-47, killing the driver.  The same group injures four others with a bomb."
1799,6/20/2004,Iraq,Diyala,2,0,"Husband and wife are killed when ""holy"" warriors fire rocket into their home."
1800,6/21/2004,Sudan,Golo,6,0,Government-backed militia burns several villages and kill six civilians.  More than a thousand are displaced.
1801,6/21/2004,Iraq,Baghdad,10,0,Sunni extremists kill ten civilians and police in a mortar attack.
1802,6/21/2004,Afghanistan,Kandahar,1,3,"A policeman is killed and an election worker, along with four others are injured in a Taliban motorcycle attack."
1803,6/21/2004,Ingushetia,Nazran,57,60,"Jihad fighters rampage through a town, shooting in cold blood or burning to death at least fifty-seven people and injuring another sixty."
1804,6/21/2004,Israel,Kfar Darom,1,0,"Palestinian terrorists attack a Jewish settlement, killing a greenhouse worker from Thailand."
1805,6/21/2004,Algeria,Algiers,0,11,Eleven are injured in a fundamentalist car bombing of a power plant.
1806,6/22/2004,Thailand,Narathiwat,1,0,A religious teacher is gunned down by Islamic separatists in his home.
1807,6/22/2004,Iraq,Baghdad,3,6,"Car bomb explodes in a residential neighborhood, killing three, including a 3-year-old girl and injuring another six civilians."
1808,6/22/2004,Iraq,Baghdad,1,0,"al-Qaeda group ""Monotheism and Jihad"" beheads a Korean hostage in front of a banner praising Allah."
1809,6/22/2004,Iraq,Mosul,2,0,Islamists stab a female law professor to death on her doorstep.  Her husband is killed in the same manner.
1810,6/23/2004,Iraq,Baghdad,3,2,A mother and her child are among three killed by a roadside bomb.  Two other civilians are wounded in the blast.
1811,6/23/2004,Iraq,Basra,2,0,"As their father waited at home for their return, two Christian sisters are gunned down by Muslim extremists in a particularly heinous and senseless murder."
1812,6/23/2004,Ingushetia,Nazran,35,58,Thirty-five more bodies are found from the attack on a town by Jihad terrorists.  The number injured doubles to one-hundred nineteen.
1813,6/23/2004,Afghanistan,Spin Boldak,5,2,"Taliban extremists shoot a rocket at an Afghan military vehicle on security patrol.  Five killed, two injured."
1814,6/24/2004,Algeria,Medea,5,0,Islamic fundamentalists stop a car on a remote road carrying members of a family and slit the throats of all five - ages 8 to 50.
1815,6/24/2004,Iraq,Mosul,112,320,"Series of coordinated terrorist attacks, including suicide bombings and other Fedayeen tactics kill over one-hundred Iraqis and injure hundreds more across the country.  Recorded message says 'killings will continue until Islamic rule back on earth.'"
1816,6/24/2004,Thailand,Cho Airong,1,2,"Muslim separatists attack an army base, killing one Thai soldier and injuring two others."
1817,6/25/2004,Afghanistan,Zabul,16,0,"The Taliban stops a bus in a remote area, kidnaps sixteen people carrying voter registration cards, then kills them in brutal fashion."
1818,6/25/2004,Chechnya,Grozny,1,1,"Government official shot to death as he left a restaurant with his wife, who was badly injured in the assassination."
1819,6/25/2004,India,Tiali Kathamara,12,12,"Twelve people, including a woman and five children are killed by militant Muslim gunmen who enter a remote village and force the people out of their homes.  Ethnic cleansing appears to be the motive."
1820,6/26/2004,Iraq,Baqubah,3,20,"Car bombing kills one, injures twenty.  In Erbil, a shooting and grenade attack on a Shiite political office leaves two guards dead."
1821,6/26/2004,Afghanistan,Jalalabad,3,11,"Two female election workers and one child are killed, and nine other women and two children are badly injured when a Taliban-planted bomb explodes on a bus."
1822,6/26/2004,India,Zainapora,2,0,"Lashkar-e-Toiba terrorists kidnap two Hindus (a railway engineer and his brother) on Wednesday, then slit their throats."
1823,6/26/2004,Iraq,Hilla,23,58,Twenty-three civilians are killed by two car bombings near a Shiite mosque in Hilla.  About sixty others are injured in the blasts.
1824,6/27/2004,Chechnya,Grozny,1,3,"Islamic terrorist explode a bomb near a roadside cafe, killing one civilian."
1825,6/27/2004,Thailand,Narathiwat,1,6,"Muslim group plants a bomb under a soccer field to kill off-duty policemen, who were inaugurating a youth league."
1826,6/27/2004,Israel,Gaza,1,5,"al-Aqsa terrorist group digs a 350-meter tunnel under an Israeli guard post, detonates explosives, then uses assault rifles to prevent ambulance crews from rescuing the victims."
1827,6/27/2004,Algeria,Blida,3,0,"Islamic fundamentalists kidnap two civilians, then kill them by cutting their throats.   They place a bomb under one of the bodies that kills an investigating medical worker."
1828,6/27/2004,Iraq,Baqubah,6,4,"Sunni extremists attack a checkpoint with automatic weapons and rockets, killing six Iraqi guardsmen."
1829,6/27/2004,Iraq,Baghdad,2,8,"Insurgents drop a mortar on a soccer field, killing two children and injuring another eight."
1830,6/28/2004,Israel,Sderot,2,12,"Palestinian militants fire a rocket into a residential area, killing two, including a 3-year-old boy.  The murdered child's mother was among a dozen injured."
1831,6/29/2004,Israel,Beit Rima,1,0,Palestinian sniper guns down a 63-year-old Israel truck driver.  Arafat's al-Aqsa takes credit.
1832,6/29/2004,Iraq,Mahmudiyah,2,0,"Extremists cite Qur'anic verses then attack a police station with assault rifles, killing an officer and a civilian."
1833,6/29/2004,Thailand,Pattani,1,0,Muslim terrorists on motorcycles shoot a Buddhist policeman to death as he is driving to work.
1834,6/29/2004,Iraq,Baghdad,1,0,al-Jazeera airs a videotape of a U.S. hostage being executed by al-Qaeda.
1835,6/30/2004,India,Pulwama,1,0,Islamists kill a schoolteacher with a grenade.
1836,6/30/2004,Afghanistan,Jalalabad,1,26,"One man was killed and twenty-six others, including five children, were injured by two Taliban bombs hidden in fruit carts."
1837,6/30/2004,Afghanistan,Ghazni,1,0,"A convert to Christianity (and father of four daughters) is dragged out of his home by the Taliban, who then slit his throat."
1838,7/1/2004,Chechnya,Grozny,2,0,Two civilians are murdered by the Mujahideen.
1839,7/1/2004,Thailand,Pattani,1,1,"Muslim separatists kill a police informer and, in a separate attack, shoot a food vendor several times in the back."
1840,7/1/2004,Iraq,Baghdad,2,3,"Two civilians are killed, and three badly injured, as Sunni extremists detonate a bomb near a hospital."
1841,7/1/2004,Iraq,al-Khadra'a,3,2,Three civilians are killed as they pass over a bomb in their vehicle.
1842,7/1/2004,Ingushetia,Malgobek,2,1,"Two policemen are killed, and one injured, as the were attempting to arrest the terrorists behind the 6/23 attacks that left over ninety people dead."
1843,7/2/2004,India,Mughal Maidan,5,15,"Pakistani-backed Islamic militants bomb a string of police cars, killing at least five and injuring over fifteen."
1844,7/3/2004,India,Srinagar,2,66,"Two citizens are killed, and more than sixty injured by two Islamist planted bombs, hidden handcarts, near a tourist center."
1845,7/3/2004,Iraq,Mahmudiyah,7,5,Seven Iraqi National Guardsmen are gunned down at a checkpoint by Sunni extremists.
1846,7/3/2004,Afghanistan,Jalalabad,1,0,Third woman dies from injuries sustained in the Taliban grenade attack against election workers.
1847,7/4/2004,Pakistan,Mata Banda,3,7,"Three people, including a woman are killed, and seven injured when armed militants fire on a passenger bus."
1848,7/4/2004,Iraq,Baqubah,3,1,"Fedayeen ""holy warrior"" suicide car bombing leaves three dead."
1849,7/4/2004,Israel,Yabad,1,1,"Palestinian gunmen stop a car, confirm that the occupants are Jewish civilians, then open up with automatic weapons, killing a man and injuring his wife."
1850,7/6/2004,Iraq,Baqubah,14,25,Fourteen mourners at a funeral for a man killed by terrorists are themselves victims of a Fedayeen suicide car bombing.  Dozens of others are injured.
1851,7/7/2004,Iraq,Baghdad,0,6,"Extremists fire mortars at the residence of the new Iraqi Prime Minister, injuring six."
1852,7/8/2004,Bangladesh,Harinakundu Bazaar,1,1,Bangladeshi terrorists kill a policeman (father of two) returning to the station after patrol.
1853,7/8/2004,Iraq,Samarrah,7,30,"al-Qaeda use a residential neighborhood as a staging area for firing mortars, killing five U.S. soldiers and two Iraqis."
1854,7/8/2004,Afghanistan,Chakaw,6,4,Taliban ambush kills six Afghan soldiers and injures another four.
1855,7/8/2004,Iraq,Ramadi,3,0,An Iraqi civilian and two policemen are shot at point-blank range after their car is stopped by extremists.
1856,7/8/2004,Thailand,Pattani,1,0,A hospital worker is murdered by Islamists.
1857,7/9/2004,Russia,Moscow,1,0,An American journalist of Forbes magazine is assassinated by Islamic separatists.
1858,7/9/2004,Chechnya,Znamenskoye,11,10,"A village elder, who opposed Jihadist attempts to recruit young men, was executed by them.  Jihad terrorist attacks also killed ten others (mostly Russian servicemen)."
1859,7/9/2004,Afghanistan,Nangarhar,1,2,"The Taliban continues to target women who work to register voters for the election.  One is killed in the blast, and two others badly injured."
1860,7/9/2004,Iraq,Baghdad,1,3,Sunni militants kill a child and injure three others in a mortar attack on a hotel.
1861,7/10/2004,India,Mattan Adda,0,34,Thirty-four people are injured when a militant Muslim tosses a grenade onto a crowded road.
1862,7/10/2004,Iraq,Baqubah,1,0,Islamists bomb five shops selling alcohol.  A passing taxi driver is killed in one of the explosions.
1863,7/10/2004,Israel,Gaza,1,0,"Three members of a Palestinian ""resistance"" group (billing itself as non-violent) are killed when the bomb they are transporting goes off earlier than expected.  A passerby is also killed."
1864,7/10/2004,Chechnya,Goity,1,0,The Mujahideen murder the wife of a police officer.
1865,7/11/2004,Iraq,Baghdad,2,0,"In a particularly senseless attack, Islamic fundamentalists enter the home of a Christian family and stab two girls (ages 16 and 6) to death."
1866,7/11/2004,Israel,Tel Aviv,1,34,A woman waiting for a bus is murdered in an al-Fatah bombing.  Thirty-four others are injured.  The bomb was packed with metal bolts.
1867,7/11/2004,Afghanistan,Herat,5,33,"Five people, including a 12-year-old boy are killed in a packed marketplace by a Taliban terrorist bombing.  More than thirty others are injured."
1868,7/11/2004,Thailand,Yala,2,1,Islamic separatists kill two more civilians in southern Thailand.
1869,7/12/2004,Chechnya,Avtury,8,12,Jihad fighters kill eight Chechen security personnel and take another dozen hostage.  Hostages are typically executed after a reading from the Qur'an.
1870,7/12/2004,Philippines,Buldon,2,0,Moro Islamic Front members kill two farmers on their land with automatic weapons.
1871,7/12/2004,Pakistan,Shakai,2,0,Two children die of injuries suffered from an al-Qaeda attack in the west Pakistani mountains.
1872,7/12/2004,Iraq,Musayyib,1,0,Regional Shiite political leader is assassinated by extremists.
1873,7/12/2004,Afghanistan,Kandahar,4,5,"Taliban members attack and burn a district police headquarters, killing four and injuring five."
1874,7/12/2004,Sudan,Donki Dereisa,150,90,"Arab militia, supported by the Islamic government's fixed-wing aircraft raid a village and kill one-hundred and fifty civilians, including six children.  The children were captured during the assault and burned alive the next day."
1875,7/13/2004,Sudan,Tabaldiat,80,39,Another raid by armed Arab militias leave eighty villagers dead - including children - and their homes burned to the ground.
1876,7/13/2004,India,Bhaderwah,3,1,Islamic terrorists kill three construction workers and injure another in a senseless terrorist attack on a road-building project.
1877,7/13/2004,India,Srinagar,2,12,Militant Muslims kill two persons and injure twelve in a street bombing.
1878,7/13/2004,Chechnya,Grozny,1,3,"Jihad terrorists attempt to assassinate the acting President in a motorcade bombing, killing a guard and injuring three others."
1879,7/13/2004,Iraq,Mosul,1,0,al-Qaeda militants execute a Bulgarian truck driver that they had taken hostage.
1880,7/14/2004,Thailand,Narathiwat,1,1,Muslim motorcycle attack kills a police officer as he is driving to work.  Another is injured.
1881,7/14/2004,Iraq,Baghdad,10,41,"Ten people, mostly civilians, are killed and more than forty injured when a Fedayeen suicide car bomber detonates his explosives along a busy road."
1882,7/14/2004,Iraq,Mosul,3,0,"Militants ambush a car carrying a government official, killing three."
1883,7/15/2004,Afghanistan,Kabul,1,0,A Christian is beaten to death for studying the Bible.
1884,7/15/2004,India,Mendhar,2,1,Islamic militant kills two policeman with a grenade and injures a third.
1885,7/15/2004,Iraq,Haditha,10,27,"Ten Iraqis, including seven civilians are killed in a Fedayeen car bombing.  Another twenty-seven innocents are injured."
1886,7/16/2004,Pakistan,South Waziristan,3,4,"Three civilians are killed, and four others suffer injury after an al-Qaeda attack on a fortified structure."
1887,7/17/2004,Iraq,Mahmudiyah,2,22,"Fedayeen bomber blows himself to Allah, taking the lives of two people and injuring another twenty-two who were waiting in line for jobs."
1888,7/17/2004,Iraq,Baghdad,4,7,'Jihad and Unification' terrorist group uses a car bomb to kill four and injure seven in an attempted assassination of an Iraqi minister.
1889,7/18/2004,Afghanistan,Kabul,1,1,"The Taliban fire a rocket into the city center, killing a woman and injuring a man."
1890,7/18/2004,Afghanistan,Kabul,1,1,"Taliban terrorists fire a rocket into the city, killing a local."
1891,7/18/2004,Iraq,Mosul,1,2,"A political figure is assassinated in a drive-by shooting.  His 7-year-old son was shot as well, but survived."
1892,7/18/2004,Indonesia,Palu,1,4,"Radical Muslims fire into a church service, killing a female pastor and injuring four Christian worshippers."
1893,7/18/2004,Chechnya,Shali,1,0,A woman is murdered in her home by Islamic radicals.
1894,7/19/2004,Russia,Voronezh,2,5,"Islamic terrorists blow up a bus stop, killing two civilians and injuring five more."
1895,7/19/2004,Iraq,Mosul,1,1,Islamists kill the Christian owner of a restaurant selling food to Americans.  They also blind and cut off both hands of his Muslim business partner.
1896,7/19/2004,Iraq,Baghdad,9,62,"Religious fanatic kills himself and nine others by blowing up a truck filled with fuel on a busy street.  Sixty-two others are injured, including many who are badly burned."
1897,7/19/2004,India,Kapran,6,50,"Six people, including two women were killed, and more than fifty others sustained injuries when Muslim terrorists attacked a political rally with grenades."
1898,7/19/2004,Indonesia,Palu,2,3,Islamic gunmen enter a church and kill the female pastor and a 17-year-old girl.  Three other teenage worshipers were also shot.
1899,7/19/2004,Israel,Tel Aviv,1,0,Arafat's al-Aqsa Martyrs Brigade takes credit for killing an Israeli judge at close range as he was driving home.
1900,7/20/2004,Iraq,Basra,3,1,"Sunni extremists assassinate a council member, along with two others."
1901,7/20/2004,India,Rajauri,5,0,"Islamists wipe out five members of a family, after invading their home in the middle of the night.  Two women and a 3-year-old boy were among those murdered."
1902,7/20/2004,Israel,Syrian Border,2,0,Hezbollah snipers kill two IDF members as they are repairing an antennae.
1903,7/20/2004,India,Koti,4,0,Lashkar-e-Taiba militants kill four policemen as they are investigating a previous crime in a remote village.
1904,7/21/2004,Sudan,Kalma,11,0,Eleven more villagers killed by an Arab militia supported by the Islamic government.
1905,7/21/2004,Afghanistan,Helmand,11,0,Taliban ambush a convoy of cars with rockets.  Eleven are killed.
1906,7/21/2004,Iraq,Ramadi,4,14,"At least four people, including three brothers are killed by a car bombing.  Fourteen others are injured."
1907,7/22/2004,Iraq,Baghdad,3,2,"Muslim insurgents car bomb a residential neighborhood, killing at least three and hurting at least two others."
1908,7/22/2004,Iraq,Baghdad,2,4,"Sunni extremists fire a missile into a hospital, killing two."
1909,7/23/2004,Afghanistan,Kabul,1,0,A Christian is stabbed to death by the Taliban over praying in the name of Jesus.
1910,7/23/2004,Chechnya,Grozny,1,3,A civilian is killed in a marketplace bombing by Islamic separatists.
1911,7/23/2004,Iraq,Baiji,1,0,"al-Qaeda members kill a Bulgarian truck driver, taken hostage several weeks earlier, by cutting off his head."
1912,7/23/2004,Israel,Beit Hanun,1,3,al-Aqsa militants shoot a 16-year old boy to death and injure other three members of his family who object to the terrorists using their backyard for launching missiles into Israel.
1913,7/24/2004,Pakistan,Karachi,1,7,Bus bombing kills at least one and injures seven.  Bus was carrying teachers and an electrician.
1914,7/24/2004,Iraq,Latifiya,2,1,Group calling itself 'Lion of God' takes an Egyptian hostage.  Elsewhere gunmen stage an assassination attempt that kills two bodyguards.
1915,7/24/2004,Dagestan,Makhachkala,1,2,Islamic militants thought responsible for a bombing that leaves one person dead.
1916,7/25/2004,Chechnya,Grozny,1,1,Islamists kill a man and injure his wife with a bomb.
1917,7/25/2004,Pakistan,Ghuzdarra,2,0,al-Qaeda attack on a remote border post leaves two dead.
1918,7/25/2004,Chechnya,Samashki,3,1,"Three cannery workers are killed, and another wounded in a terrorist bombing on their vehicle."
1919,7/25/2004,India,Daraj,3,1,"Militant Muslims invade a home and cut off the heads of a 65-year-old man and his two children, one a teenage girl.  They attempt to cut the head off his wife, but she survives the attack."
1920,7/26/2004,India,Baramulla,1,29,"One citizen is killed, and nearly thirty others injured when militant Muslim throws grenade into the street outside a hospital."
1921,7/26/2004,Iraq,Basra,2,3,Muslim extremists open fire on a private vehicle carrying workers.  Two women are killed and another three injured.
1922,7/26/2004,Iraq,Mosul,3,5,"Fedayeen suicide bomber kills three, including two civilians and causes another five to suffer critical burns."
1923,7/27/2004,India,Satoora,2,0,Police recover the body of a woman abducted by Lashkar-e-Toiba terrorists.  Her husband had also been killed by the same group.
1924,7/27/2004,Afghanistan,Ghazni,6,2,"The Taliban bombs an election station at a mosque, killing six workers and injuring two."
1925,7/27/2004,India,Dal Lake,5,2,Fedayeen militants kill five Indian security force personnel and injure two in an attack on a resort.
1926,7/27/2004,Iraq,Baghdad,2,0,Group calling itself the 'Islamic Army' brutally executes two Pakistani civilians taken hostage.
1927,7/27/2004,Chechnya,Dyshni-Vedeno,1,0,Islamic militants kill a police officer at sunrise.
1928,7/28/2004,Afghanistan,Kabul,1,0,A married father is stabbed to death after being discovered associating with other Christians.
1929,7/28/2004,Chechnya,Grozny,2,0,Two police officers are murdered in a landmine attack by Muslim separatists.
1930,7/28/2004,Iraq,Baqubah,68,56,"An Islamist kills himself and sixty-eight others, including twenty-one passengers on a passing bus, and injures dozens more in a suicide bombing at a marketplace."
1931,7/28/2004,Iraq,Fallujah,4,1,Four policemen are killed by a homemade bomb while on routine patrol.
1932,7/29/2004,India,Bafliaz,2,1,"Mujahideen invade a home, kill a mother and father and injure their young child in the process."
1933,7/30/2004,Pakistan,Fateh Jang,6,25,Fedayeen suicide bomber kills six and injures at least twenty-five others.  Pakistani finance minister was the target.
1934,7/30/2004,Uzbekistan,Tashkent,3,5,Three suicide bombers kill three others and injure five in synchronized attacks on the U.S and Israeli embassies.
1935,7/31/2004,Pakistan,Karachi,2,0,"Hard-line fundamentalists bomb car dealership, killing two people."
1936,7/31/2004,Thailand,Narathiwat,1,5,"Muslim gunmen on motorcycles shoot a 39-year-old woman four times in the chest.  In a separate attack, a bomb hidden under a street bench, injures five."
1937,7/31/2004,Afghanistan,Helmand,5,2,A local Afghan official and four bodyguards are shot to death by the Taliban.
1938,8/1/2004,Afghanistan,Baraki Barak,3,0,Three children are blown up by a bicycle bomb placed by religious extremists.
1939,8/1/2004,Pakistan,Khuzdar,6,2,"Islamists use automatic weapons at point-blank range to ambush a car carrying soldiers and civilians, killing six."
1940,8/1/2004,Iraq,Baghdad,2,2,Terrorist bombing near a hotel kills two civilians and badly injures two others.
1941,8/1/2004,Iraq,Mosul,4,32,A suicide bomber kills at least four people and injures between thirty and fifty in a residential neighborhood.
1942,8/1/2004,Iraq,Baghdad,11,61,"Islamic radicals bomb five Catholic churches, murdering nearly a dozen Christians and injuring close to one-hundred people."
1943,8/1/2004,Algeria,Ziama Mansouria,3,1,Bombing by the Salafist Group for Preaching and Combat leaves three security company employees dead and one critically injured.
1944,8/2/2004,Iraq,Baghdad,1,0,"al-Qaeda members place a hood over the head of a cleaner taken hostage, then shoot him three times while praising Allah."
1945,8/2/2004,Pal. Auth.,Gaza,3,0,Palestinian terrorists shoot three suspected informants to death in their hospital beds.
1946,8/3/2004,Israel,Rafah,3,10,"Attempted bombing of an Israeli bulldozer backfires.  Three Palestinian bystanders are killed and ten others, including journalists, are injured."
1947,8/3/2004,Saudi Arabia,Riyadh,1,0,Two al-Qaeda gunmen shoot an Irish engineer four times in the chest at his office.
1948,8/3/2004,Iraq,Baqubah,4,6,Suicide bomber kills four Iraqi National Guardsmen at a roadside checkpoint.  Six others are injured.
1949,8/4/2004,Afghanistan,Gardez,2,0,Taliban radicals ambush and murder two charity workers.
1950,8/5/2004,England,West Bromwich,1,0,"Shopkeeper is brutally beaten to death by members of a Muslim family upset over the presumed ""taboo"" relationship between his son and their Pakistani daughter."
1951,8/5/2004,Bangladesh,Sylhet,1,15,"Fundamentalists bomb two cinemas, killing a 13-year-old boy."
1952,8/5/2004,Iraq,Mahawil,5,18,Islamic extremists kill five policemen in a shooting attack followed minutes later by a suicide minibus bombing.
1953,8/5/2004,India,Srinagar,9,8,"Muslim terrorists attack a police building in the heart of Srinagar, killing eight officers."
1954,8/5/2004,Iraq,Filfil,1,0,Gunmen stop a truck convoy and kill a Turkish father of three who is unable to recite prayers on command.
1955,8/6/2004,India,Gundana,1,0,Suspected Jaish-e-Mohammed terrorists invade a woman's home and kill her in cold blood.
1956,8/6/2004,Afghanistan,Uruzgan,2,1,The Taliban kill two humanitarian election workers and take another hostage in an attack on their convoy.
1957,8/6/2004,Chechnya,Grozny,2,0,Two police officers manning a checkpoint are cut to pieces by Islamists with automatic weapons.
1958,8/6/2004,Chechnya,Kargalinskaya,1,1,"Islamic gunmen fire into a building, killing a police officer."
1959,8/7/2004,Afghanistan,Awdand,1,0,Islamic radicals murder a 40-year-old 'well-educated' man for converting to Christianity.
1960,8/8/2004,Iraq,Kirkuk,1,3,Roadside bomb kills a 7-year-old child and injures three others.
1961,8/8/2004,Algeria,Boukaid,2,0,Two local security guards are shot to death by Islamic fundamentalists.
1962,8/8/2004,Iraq,Baghdad,1,16,"A 10-year-old boy is killed, and sixteen others, including a 13-year-old girl, badly injured when Sunnis mortar-bomb a pickup truck in a residential neighborhood."
1963,8/8/2004,Pakistan,Karachi,8,42,"Two bombs, staggered to cause maximum casualties, rip through a Pakistani restaurant near a Sunni school leaving at least eight dead and dozens injured."
1964,8/9/2004,Iraq,Khaldiya,4,4,Civilian minibus is the target of another Fedayeen bombing.  Four are killed and four injured.
1965,8/9/2004,Iraq,Balad Ruz,7,14,"In another case of ""killing for Allah,"" a Fedayeen suicide bomber destroys seven Iraqi policemen and injures another fourteen people."
1966,8/9/2004,Chechnya,Grozny,1,2,Jihadis use a landmine to kill a policeman.
1967,8/10/2004,Philippines,North Cotabato,3,0,MILF terrorists murder three farmers in a rocket attack.
1968,8/11/2004,Iraq,Mosul,4,0,"Islamic insurgents spray a car with machine-gun fire, killing four occupants, including a woman and child."
1969,8/11/2004,Israel,Jerusalem,2,16,Unsuccessful suicide car bombing at an Israeli checkpoint kills two Palestinians and injures sixteen.
1970,8/11/2004,Iraq,Khan Bani Saad,6,10,"Muslim terrorists bomb a busy marketplace in a small town, killing six people and injuring at least 10 others."
1971,8/12/2004,India,Watapora Beerwah,2,0,Mujahideen abduct and later shoot dead two civilians from a remote village.
1972,8/13/2004,Israel,Itamar,1,1,Palestinian gunman murders an Israeli driver outside a settlement.
1973,8/14/2004,India,Galothi,2,0,Mujahideen terrorists shoot a young couple to death as they beg for their lives.
1974,8/15/2004,Iran,Neka,1,0,Iranian Mullah publicly hangs a 16-year-old girl for having a 'sharp tongue.'
1975,8/15/2004,Iraq,Baghdad,1,5,Bus station bombed with mortars - at least one killed and five injured.
1976,8/15/2004,Afghanistan,Maiwand,6,0,Taliban extremists attack an Afghan army post and kill six soldiers.
1977,8/16/2004,Iraq,Baqubah,5,4,"Mortar attack kills two civilians and injures four.  In the same city, a roadside bomb kills three Iraqi Guardsmen."
1978,8/17/2004,Dagestan,Makhachkala,3,2,Two separate terrorist attacks staged by Muslim rebels leave a civilian and two anti-terrorist agents dead.
1979,8/17/2004,Iraq,Baghdad,6,32,"Islamic insurgents fire a mortar round into a crowded street outside a barbershop, killing six, including two children, and injuring at least thirty others."
1980,8/17/2004,Algeria,Bouira,2,0,Two Algerian village guards are killed by Islamic fundamentalists in separate bombings.
1981,8/18/2004,India,Udhampur,4,0,"Islamic separatists invade a family's home and then massacre the father, his daughter and two sons."
1982,8/18/2004,India,Rajouri,2,0,Mujahideen militants - led by a Pakistani national - abduct and then cut off the heads of a man and his son.
1983,8/19/2004,Pakistan,Lahore,1,0,Muslim mob takes 26-year-old Christian from his home then tortures him to death.
1984,8/19/2004,Iraq,Najaf,8,30,Radical Shiites kill eight and injure thirty in the Holy City of Najaf in a mortar attack on a police station.
1985,8/19/2004,Afghanistan,Farah,0,7,Seven people are hurt when the Taliban detonate several bombs inside an electoral commission building.
1986,8/21/2004,Thailand,Pattani,1,0,Islamic radicals kill a high-ranking security official.
1987,8/21/2004,Chechnya,Grozny,66,11,"Sixty-six people, including policemen and other civilians are killed in several terrorist attacks by Muslim separatists in the capital city and across the country."
1988,8/21/2004,Bangladesh,Dhaka,19,300,Nineteen people are killed and over 300 injured when Islamists throw more than a dozen grenades into an opposition political rally.
